2019/06/04 13:09:38 [error] 232#3520: *4 CreateFile() "C:\PBP\nginx-1.14.0/html/main" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /main HTTP/1.1", host: "localhost"
2019/06/04 13:09:59 [error] 232#3520: *4 CreateFile() "C:\PBP\nginx-1.14.0/html/main" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /main HTTP/1.1", host: "localhost"
2019/06/04 13:10:21 [error] 232#3520: *5 CreateFile() "C:\PBP\nginx-1.14.0/html/browserconfig.xml" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /browserconfig.xml HTTP/1.1", host: "localhost"
2019/06/04 13:10:30 [error] 232#3520: *4 CreateFile() "C:\PBP\nginx-1.14.0/html/main" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /main HTTP/1.1", host: "localhost"
2019/06/04 13:14:25 [notice] 3020#1268: signal process started
2019/06/04 13:17:18 [notice] 3632#3276: signal process started
2019/06/04 13:26:09 [notice] 1872#3432: signal process started
2019/06/04 20:45:59 [error] 1812#2988: *83 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:46:53 [error] 1812#2988: *84 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:46:56 [error] 1812#2988: *85 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:46:58 [error] 1812#2988: *86 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:47:01 [error] 1812#2988: *87 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:47:02 [error] 1812#2988: *88 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:47:23 [error] 1812#2988: *89 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:48:37 [error] 1812#2988: *90 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:48:40 [error] 1812#2988: *91 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:51:41 [error] 1812#2988: *92 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:57:48 [error] 1812#2988: *96 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 221.237.96.90, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 21:03:31 [error] 1812#2988: *100 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 221.237.96.90, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 21:05:45 [error] 1812#2988: *104 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 221.237.96.90, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 23:22:36 [error] 1812#2988: *119 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/05 01:22:14 [error] 1812#2988: *126 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 110.185.91.147, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/05 01:22:17 [error] 1812#2988: *126 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 110.185.91.147, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/05 01:22:18 [error] 1812#2988: *126 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 110.185.91.147, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/05 11:28:24 [error] 1812#2988: *133 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 182.138.138.146, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/05 11:31:51 [error] 1812#2988: *143 CreateFile() "C:\PBP\nginx-1.14.0/html/api/login" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login HTTP/1.1", host: "127.0.0.1:8799", referrer: "http://127.0.0.1:8799/"
2019/06/05 11:31:55 [error] 1812#2988: *143 CreateFile() "C:\PBP\nginx-1.14.0/html/api/login" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login HTTP/1.1", host: "127.0.0.1:8799", referrer: "http://127.0.0.1:8799/"
2019/06/05 11:31:57 [error] 1812#2988: *143 CreateFile() "C:\PBP\nginx-1.14.0/html/api/login" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login HTTP/1.1", host: "127.0.0.1:8799", referrer: "http://127.0.0.1:8799/"
2019/06/05 11:32:14 [error] 1812#2988: *143 CreateFile() "C:\PBP\nginx-1.14.0/html/api/login" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login HTTP/1.1", host: "127.0.0.1:8799", referrer: "http://127.0.0.1:8799/"
2019/06/05 11:32:40 [error] 1812#2988: *143 CreateFile() "C:\PBP\nginx-1.14.0/html/api/login" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login HTTP/1.1", host: "127.0.0.1:8799", referrer: "http://127.0.0.1:8799/"
2019/06/05 11:32:52 [error] 1812#2988: *143 CreateFile() "C:\PBP\nginx-1.14.0/html/api/login" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login HTTP/1.1", host: "127.0.0.1:8799", referrer: "http://127.0.0.1:8799/"
